time,V_n3
6.072458248025231e-03,1.056018e+01
6.172458248025231e-03,1.055344e+01
6.272458248025231e-03,1.054671e+01
6.372458248025232e-03,1.053998e+01
6.472458248025232e-03,1.053326e+01
6.672458248025232e-03,1.051983e+01
6.872458248025233e-03,1.050642e+01
7.172458248025234e-03,1.048633e+01
7.372458248025233e-03,1.047295e+01
7.572458248025233e-03,1.045960e+01
7.772458248025233e-03,1.044626e+01
7.972458248025232e-03,1.043294e+01
8.172458248025231e-03,1.041964e+01
8.372458248025232e-03,1.040635e+01
8.572458248025230e-03,1.039308e+01
8.743886819453801e-03,1.038172e+01
8.915315390882372e-03,1.037037e+01
9.086743962310942e-03,1.035903e+01
9.258172533739513e-03,1.034771e+01
9.429601105168082e-03,1.033640e+01
9.601029676596652e-03,1.032510e+01
9.772458248025223e-03,1.031381e+01
9.972458248025222e-03,1.030066e+01
1.017245824802522e-02,1.028753e+01
1.027245824802522e-02,1.028096e+01
1.037245824802522e-02,1.027441e+01
1.047245824802522e-02,1.026785e+01
1.057245824802522e-02,1.026131e+01
1.067245824802522e-02,1.025476e+01
1.077245824802522e-02,1.024822e+01
1.087245824802522e-02,1.024168e+01
1.097245824802522e-02,1.023515e+01
1.101900782063168e-02,1.023211e+01
1.104834707994121e-02,1.023020e+01
1.107026303257691e-02,1.022877e+01
1.109002859029498e-02,1.022748e+01
1.110864313172661e-02,1.022626e+01
1.112655182068485e-02,1.022509e+01
1.114518184517719e-02,1.022388e+01
1.116264507991058e-02,1.022274e+01
1.118012400521922e-02,1.022160e+01
1.119736201324271e-02,1.022048e+01
1.121462317772421e-02,1.021935e+01
1.123195586535371e-02,1.021822e+01
1.124942342647651e-02,1.021708e+01
1.126706986925828e-02,1.021594e+01
1.128492609420262e-02,1.021478e+01
1.130302302639761e-02,1.021360e+01
1.132139223532689e-02,1.021242e+01
1.134007436599398e-02,1.021122e+01
1.135912759588742e-02,1.021000e+01
1.137864273226962e-02,1.020879e+01
1.139877001937160e-02,1.020757e+01
1.141976839234514e-02,1.020638e+01
1.144210381094714e-02,1.020523e+01
1.146666349445905e-02,1.020423e+01
1.149539088660702e-02,1.020360e+01
1.153323369186535e-02,1.020417e+01
1.159135391912797e-02,1.020854e+01
1.165534438398823e-02,1.021853e+01
1.171618726582048e-02,1.023405e+01
1.179786871097183e-02,1.026345e+01
1.189786871097183e-02,1.030904e+01
1.199786871097183e-02,1.036249e+01
1.209786871097183e-02,1.042100e+01
1.219786871097183e-02,1.048142e+01
1.229786871097182e-02,1.054094e+01
1.239786871097182e-02,1.059717e+01
1.249786871097182e-02,1.064808e+01
1.259786871097182e-02,1.069204e+01
1.269786871097182e-02,1.072780e+01
1.289786871097182e-02,1.077194e+01
1.299786871097182e-02,1.078093e+01
1.307542237644290e-02,1.078275e+01
1.313788650520434e-02,1.078135e+01
1.320960722962871e-02,1.077802e+01
1.323758608578794e-02,1.077640e+01
1.326215129632908e-02,1.077485e+01
1.328594350399613e-02,1.077330e+01
1.330996147110519e-02,1.077170e+01
1.333170006899008e-02,1.077024e+01
1.335513424024844e-02,1.076865e+01
1.337711662761028e-02,1.076715e+01
1.339750555418071e-02,1.076576e+01
1.341812084522047e-02,1.076435e+01
1.343723237541983e-02,1.076304e+01
1.345682563171149e-02,1.076170e+01
1.347831674958049e-02,1.076022e+01
1.350248605665150e-02,1.075857e+01
1.353112683891936e-02,1.075660e+01
1.356570347637944e-02,1.075423e+01
1.361038744978683e-02,1.075116e+01
1.367191776183049e-02,1.074694e+01
1.376699276867521e-02,1.074043e+01
1.386699276867520e-02,1.073358e+01
1.396699276867520e-02,1.072673e+01
1.406699276867520e-02,1.071989e+01
1.416699276867520e-02,1.071305e+01
1.426699276867520e-02,1.070622e+01
1.436699276867520e-02,1.069939e+01
1.446699276867520e-02,1.069257e+01
1.456699276867520e-02,1.068575e+01
1.466699276867520e-02,1.067893e+01
1.476699276867520e-02,1.067212e+01
1.496699276867520e-02,1.065851e+01
1.516699276867520e-02,1.064492e+01
1.546699276867520e-02,1.062457e+01
1.566699276867519e-02,1.061102e+01
1.586699276867519e-02,1.059749e+01
1.606699276867519e-02,1.058397e+01
1.626699276867519e-02,1.057048e+01
1.646699276867519e-02,1.055700e+01
1.666699276867519e-02,1.054354e+01
1.686699276867519e-02,1.053009e+01
1.705270705438947e-02,1.051762e+01
1.723842134010375e-02,1.050517e+01
1.742413562581804e-02,1.049273e+01
1.760984991153233e-02,1.048030e+01
1.779556419724661e-02,1.046789e+01
1.798127848296089e-02,1.045550e+01
1.816699276867518e-02,1.044312e+01
1.836699276867518e-02,1.042980e+01
1.856699276867518e-02,1.041650e+01
1.866699276867518e-02,1.040986e+01
1.876699276867518e-02,1.040322e+01
1.886699276867517e-02,1.039658e+01
1.896699276867517e-02,1.038995e+01
1.906699276867517e-02,1.038332e+01
1.916699276867517e-02,1.037670e+01
1.926699276867517e-02,1.037008e+01
1.936699276867517e-02,1.036347e+01
1.946699276867517e-02,1.035686e+01
1.956699276867517e-02,1.035025e+01
1.963209825606890e-02,1.034596e+01
1.967242010006183e-02,1.034330e+01
1.969297691519334e-02,1.034195e+01
1.971272460741280e-02,1.034066e+01
1.973354828309762e-02,1.033930e+01
1.975317609964614e-02,1.033803e+01
1.977408882460222e-02,1.033670e+01
1.979497170913064e-02,1.033541e+01
1.981728822553755e-02,1.033410e+01
1.984040007725311e-02,1.033286e+01
1.986629494762280e-02,1.033171e+01
1.989546848794417e-02,1.033089e+01
1.993404395403128e-02,1.033115e+01
2.000073745522241e-02,1.033541e+01
2.006828500037096e-02,1.034493e+01
2.013190021932098e-02,1.035980e+01
2.021502284123553e-02,1.038704e+01
2.031502284123553e-02,1.042810e+01
2.041502284123553e-02,1.047560e+01
2.051502284123553e-02,1.052684e+01
2.061502284123553e-02,1.057887e+01
2.071502284123553e-02,1.062911e+01
2.081502284123553e-02,1.067535e+01
2.091502284123553e-02,1.071577e+01
2.101502284123553e-02,1.074895e+01
2.111502284123553e-02,1.077391e+01
2.121502284123553e-02,1.079025e+01
2.131502284123553e-02,1.079864e+01
2.139451917780267e-02,1.080028e+01
2.145560013334869e-02,1.079887e+01
2.152661912443174e-02,1.079555e+01
2.155498509811671e-02,1.079392e+01
2.157954748433885e-02,1.079237e+01
2.160516598760366e-02,1.079070e+01
2.162835044419943e-02,1.078916e+01
2.165417205289068e-02,1.078742e+01
2.167756547431291e-02,1.078583e+01
2.169909827929386e-02,1.078436e+01
2.172070958135696e-02,1.078288e+01
2.174067697358598e-02,1.078152e+01
2.176107896257660e-02,1.078012e+01
2.178108071295559e-02,1.077874e+01
2.180297287507910e-02,1.077724e+01
2.182844294213577e-02,1.077549e+01
2.185820761117940e-02,1.077344e+01
2.189495829174454e-02,1.077092e+01
2.194236781740863e-02,1.076766e+01
2.200917631094469e-02,1.076307e+01
2.210917631094469e-02,1.075621e+01
2.220917631094469e-02,1.074935e+01
2.230917631094469e-02,1.074249e+01
2.240917631094469e-02,1.073564e+01
2.250917631094469e-02,1.072879e+01
2.260917631094468e-02,1.072195e+01
2.270917631094468e-02,1.071511e+01
2.280917631094468e-02,1.070828e+01
2.290917631094468e-02,1.070145e+01
2.300917631094468e-02,1.069462e+01
2.320917631094468e-02,1.068098e+01
2.340917631094468e-02,1.066737e+01
2.370917631094468e-02,1.064697e+01
2.400917631094468e-02,1.062661e+01
2.422346202523039e-02,1.061209e+01
2.443774773951610e-02,1.059759e+01
2.465203345380182e-02,1.058311e+01
2.486631916808753e-02,1.056865e+01
2.508060488237324e-02,1.055422e+01
2.529489059665896e-02,1.053980e+01
2.550917631094467e-02,1.052540e+01
2.568060488237324e-02,1.051389e+01
2.585203345380181e-02,1.050240e+01
2.602346202523038e-02,1.049092e+01
2.619489059665895e-02,1.047945e+01
2.636631916808752e-02,1.046800e+01
2.653774773951609e-02,1.045655e+01
2.670917631094466e-02,1.044512e+01
2.690917631094466e-02,1.043180e+01
2.700917631094466e-02,1.042515e+01
2.710917631094466e-02,1.041850e+01
2.720917631094466e-02,1.041185e+01
2.730917631094466e-02,1.040521e+01
2.740917631094466e-02,1.039858e+01
2.750917631094466e-02,1.039195e+01
2.760917631094465e-02,1.038532e+01
2.770917631094465e-02,1.037869e+01
2.780917631094465e-02,1.037208e+01
2.790917631094465e-02,1.036546e+01
2.797569456794138e-02,1.036106e+01
2.801646029579652e-02,1.035837e+01
2.803724605930630e-02,1.035701e+01
2.805719533102612e-02,1.035570e+01
2.807823282695865e-02,1.035433e+01
2.809806343876414e-02,1.035305e+01
2.811924161121708e-02,1.035171e+01
2.814039253918526e-02,1.035041e+01
2.816310024678396e-02,1.034908e+01
2.818667528851335e-02,1.034782e+01
2.820000000000000e-02,1.034715e+01
